ASV,Domain,Phylum,Class,Order,Family,Genus,Species,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
8509361904afffc3af727e3b0506d44f,d__Bacteria, p__Pseudomonadota, c__Gammaproteobacteria, o__JG36-TzT-191, f__Incertae_Sedis, g__Incertae_Sedis,NA,5.92276625368532,-1.70480191925411,0.369075923752077,-4.6191089950351,3.85391384900124e-06,0.000400807040296129
8f30758a164d8864cfa62ec764a376ad,d__Bacteria, p__Pseudomonadota, c__Alphaproteobacteria, o__Hyphomicrobiales, f__Devosiaceae, g__Arsenicitalea,NA,5.23355938857181,-1.46735786341467,0.390403622192462,-3.75856621199915,0.000170889818657364,0.00718541860323231
365936ac898296af3540373a2305661a,d__Bacteria, p__Pseudomonadota, c__Gammaproteobacteria, o__Lysobacterales, f__Rhodanobacteraceae, g__Dokdonella,NA,3.76067737522837,-1.13035849500586,0.327597532267632,-3.45044874783247,0.000559655421667718,0.0150684290116967
872bb5e5f9f528fc77a9b667d8474d2d,d__Bacteria, p__Pseudomonadota, c__Gammaproteobacteria, o__Burkholderiales, f__Oxalobacteraceae, g__Pseudoduganella,NA,1.49989280559457,-1.02315849292492,0.302695531229027,-3.38015724503966,0.000724443702485419,0.0150684290116967
5a0561f10b990534dca4c00c4b66861a,d__Bacteria, p__Actinomycetota, c__Actinobacteria, o__Frankiales, f__Incertae_Sedis, g__Incertae_Sedis.1,NA,1.56922871209808,-1.01287053010923,0.278649899821681,-3.63492156558248,0.000278065220692219,0.00963959431733026
7a0291e3038d0e7d955d417a512db077,d__Bacteria, p__Actinomycetota, c__Actinobacteria, o__Micrococcales, f__Micrococcaceae, g__Pseudarthrobacter,NA,1.49167614408591,1.02362736101756,0.302050048829555,3.38893294334537,0.000701651668847672,0.0150684290116967
094c6a5db02f1cddd0ed23ba65b81654,d__Bacteria, p__Actinomycetota, c__Thermoleophilia, o__Gaiellales, f__Gaiellaceae, g__Gaiella,NA,5.52454414564522,1.04433691145549,0.370059823930987,2.82207590211212,0.00477138830667207,0.048021714570377
3f233bba666a71ad9991ff176a19a6f6,d__Bacteria, p__Pseudomonadota, c__Alphaproteobacteria, o__Hyphomicrobiales, f__Rhizobiaceae, g__Neorhizobium,NA,1.48448158378088,1.04461452955074,0.308699223448946,3.3839234121802,0.000714579330132391,0.0150684290116967
54d556f9d3736061ab35f74709b9a434,d__Bacteria, p__Pseudomonadota, c__Alphaproteobacteria, o__Acetobacterales, f__Acetobacteraceae, g__Dankookia,NA,3.04676915466266,1.07920877540217,0.323416863113236,3.33689704678237,0.000847193240976457,0.0157639858362515
35d1fb38af48e1b610dfd5f08b835d52,d__Bacteria, p__Pseudomonadota, c__Alphaproteobacteria, o__Hyphomicrobiales, f__Rhizobiaceae, g__Mesorhizobium,NA,1.59780902931676,1.18575453079128,0.317072272403171,3.73969796161658,0.000184241502646982,0.00718541860323231
3449db6c771be25a4be6ed13a309cf5f,d__Bacteria, p__Actinomycetota, c__Actinobacteria, o__Propionibacteriales, f__Propionibacteriaceae, g__Microlunatus,NA,9.50294324025272,1.22844942064485,0.382281310306833,3.21346973426154,0.00131141618513264,0.0215348341979676
0084b96cba722b38814c06b77d9252c2,d__Bacteria, p__Actinomycetota, c__Actinobacteria, o__Micrococcales, f__Microbacteriaceae, g__Lysinimonas,NA,3.70949906663823,1.23161176595325,0.369512787212766,3.33306940537375,0.00085893512569319,0.0157639858362515
a9ea51361e48984dc28f1c71b4fda381,d__Bacteria, p__Pseudomonadota, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Polymorphobacter,NA,2.50739518324177,1.38143078025898,0.331913282591563,4.16202319314502,3.15440303058431e-05,0.00196834749108461
59acf06cbf11294381261ccf1e2f711e,d__Bacteria, p__Pseudomonadota, c__Alphaproteobacteria, o__Hyphomicrobiales, f__Beijerinckiaceae, g__Enterovirga,NA,2.12581111860765,1.44180944182179,0.330665275660696,4.36032915443249,1.29866944373456e-05,0.00101296216611296
f553ac345e96b3ea23a56591f5827c7c,d__Bacteria, p__Pseudomonadota, c__Alphaproteobacteria, o__Hyphomicrobiales, f__Xanthobacteraceae, g__Nitrobacter,NA,4.65769305148116,1.64065611582498,0.398776746704924,4.1142221290024,3.88487210019542e-05,0.00202013349210162
39da8f47fd378b05533f3b91031d983b,d__Bacteria, p__Actinomycetota, c__Actinobacteria, o__Micromonosporales, f__Micromonosporaceae, g__Dactylosporangium,NA,3.58189781670588,1.87400827589352,0.374059471584675,5.00992066302832,5.44524786443108e-07,8.49458666851249e-05
dd2325e53fa198631f54aea7037e8782,d__Bacteria, p__Actinomycetota, c__Actinobacteria, o__Frankiales, f__Geodermatophilaceae, g__Blastococcus,NA,4.48917212240421,1.88613601947408,0.364078634609527,5.1805732063815,2.21205091970603e-07,6.90159886948282e-05
