s.OM1,s.OM2,s.REF,index,stat,p.value,taxon,Domain,Phylum,Class,Order,Family,Genus,Species,GenusLabel
1,0,1,5,0.7128367677481883,0.004,6deb9f88f14df479760ec8a1721a63ba,d__Bacteria, p__Pseudomonadota, c__Alphaproteobacteria, o__Azospirillales, f__Inquilinaceae, g__Inquilinus,NA, g__Inquilinus
1,0,1,5,0.37267799624996495,0.028,b95e15fd30eae1a9119235b9972c2ec8,d__Bacteria, p__Pseudomonadota, c__Alphaproteobacteria, o__Acetobacterales, f__Acetobacteraceae, g__Roseococcus,NA, g__Roseococcus
0,1,0,2,0.35138523603575855,0.042,685fef0256585176fcd8ddf80ffea14d,d__Bacteria, p__Planctomycetota, c__Phycisphaerae, o__Phycisphaerales, f__Phycisphaeraceae, g__SM1A02,NA, g__SM1A02
0,0,1,3,0.3211233051970689,0.014,89d4bf8bb2a8baf62ca8121e1476e435,d__Bacteria, p__Myxococcota, c__Myxococcia, o__Myxococcales, f__Anaeromyxobacteraceae, g__Anaeromyxobacter,NA, g__Anaeromyxobacter
0,0,1,3,0.32414706728980375,0.015,b4fd43ffc6fe30f98f5b67549fe6d5de,d__Bacteria, p__Chloroflexota, c__Ktedonobacteria, o__Ktedonobacterales, f__Ktedonobacteraceae, g__Incertae_Sedis,NA, g__Incertae_Sedis
0,1,1,6,0.3703725416824444,0.046,3f9d03106f42036945b697aae3589731,d__Bacteria, p__Bacillota, c__Bacilli, o__Paenibacillales, f__Paenibacillaceae, g__Paenibacillus,NA, g__Paenibacillus
0,0,1,3,0.48173629566295817,0.014,523a4c362ca9ac6319ef1e433a32071e,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Chitinophagales, f__Chitinophagaceae, g__Puia,NA, g__Puia
0,0,1,3,0.5522902278724587,0.002,fd0eb9ae2791f68a971a8454bf128700,d__Bacteria, p__Pseudomonadota, c__Gammaproteobacteria, o__Lysobacterales, f__Rhodanobacteraceae, g__Luteibacter,NA, g__Luteibacter
1,0,1,5,0.5406343079861246,0.007,365936ac898296af3540373a2305661a,d__Bacteria, p__Pseudomonadota, c__Gammaproteobacteria, o__Lysobacterales, f__Rhodanobacteraceae, g__Dokdonella,NA, g__Dokdonella
0,0,1,3,0.40240622760111955,0.028,dff36c3ac3774b7186b4751bc554034a,d__Bacteria, p__Pseudomonadota, c__Gammaproteobacteria, o__Rickettsiellales, f__Rickettsiellaceae, g__Aquicella,NA, g__Aquicella
